ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1474244,Extracellular matrix organization,6/43,300/10899,0.0010694324955274315,0.09914947250585618,0.09269281640154978,LOX/TIMP1/ITGA3/LAMA4/COL13A1/TNC,6
R-HSA-400511,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",2/43,13/10899,0.0011537074991067554,0.09914947250585618,0.09269281640154978,DPP4/PCSK1,2
R-HSA-209952,Peptide hormone biosynthesis,2/43,14/10899,0.0013426250496220726,0.09914947250585618,0.09269281640154978,PCSK1/INHBB,2
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),4/43,125/10899,0.0014400205709803686,0.09914947250585618,0.09269281640154978,TIMP1/TNC/IGFBP5/PAPPA,4
R-HSA-399954,Sema3A PAK dependent Axon repulsion,2/43,16/10899,0.001761651079186007,0.09914947250585618,0.09269281640154978,LIMK1/SEMA3A,2
R-HSA-202733,Cell surface interactions at the vascular wall,4/43,137/10899,0.002016599440797075,0.09914947250585618,0.09269281640154978,ITGA3/GPC1/ANGPT2/SLC16A1,4
R-HSA-381771,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",2/43,21/10899,0.0030445698384948534,0.12830687176514027,0.11995147333618822,DPP4/PCSK1,2
R-HSA-400508,"Incretin synthesis, secretion, and inactivation",2/43,24/10899,0.00397154787439679,0.12993600487664622,0.12147451660189586,DPP4/PCSK1,2
R-HSA-210991,Basigin interactions,2/43,25/10899,0.004306130761213953,0.12993600487664622,0.12147451660189586,ITGA3/SLC16A1,2
R-HSA-216083,Integrin cell surface interactions,3/43,85/10899,0.004511894340114061,0.12993600487664622,0.12147451660189586,ITGA3/COL13A1/TNC,3
R-HSA-5619115,Disorders of transmembrane transporters,4/43,176/10899,0.004964522134500465,0.12993600487664622,0.12147451660189586,SLC22A18/SLC16A1/PSMC1/SLC2A1,4
R-HSA-2980736,Peptide hormone metabolism,3/43,91/10899,0.005459386202191542,0.12993600487664622,0.12147451660189586,DPP4/PCSK1/INHBB,3
R-HSA-3000157,Laminin interactions,2/43,30/10899,0.006166454468722193,0.12993600487664622,0.12147451660189586,ITGA3/LAMA4,2
R-HSA-8874081,MET activates PTK2 signaling,2/43,30/10899,0.006166454468722193,0.12993600487664622,0.12147451660189586,ITGA3/LAMA4,2
R-HSA-5619102,SLC transporter disorders,3/43,98/10899,0.006705754629527151,0.13187984104736733,0.12329176932885008,SLC22A18/SLC16A1/SLC2A1,3
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,3/43,108/10899,0.008759115818781745,0.15199642156121262,0.14209834950593295,TIMP1/VEGFA/CEBPD,3
R-HSA-8957275,Post-translational protein phosphorylation,3/43,108/10899,0.008759115818781745,0.15199642156121262,0.14209834950593295,TIMP1/TNC/IGFBP5,3
R-HSA-8875878,MET promotes cell motility,2/43,41/10899,0.01130996116552683,0.18535769687946752,0.17328712429052806,ITGA3/LAMA4,2
R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,2/43,44/10899,0.012950873101823229,0.20107934552830803,0.18798497244751725,NDRG1/BNIP3L,2
R-HSA-425407,SLC-mediated transmembrane transport,4/43,250/10899,0.0165545961446967,0.24418029313427633,0.2282791678900282,SLC20A1/SLC22A18/SLC16A1/SLC2A1,4
R-HSA-3000171,Non-integrin membrane-ECM interactions,2/43,59/10899,0.02256830995772679,0.31703102083473345,0.2963858250087428,LAMA4/TNC,2
R-HSA-373755,Semaphorin interactions,2/43,65/10899,0.027031280364846342,0.36246489580134866,0.3388610265832413,LIMK1/SEMA3A,2
R-HSA-1234174,Cellular response to hypoxia,2/43,75/10899,0.035184079571343715,0.3776588006130001,0.35306549780769325,PSMC1/VEGFA,2
R-HSA-3000178,ECM proteoglycans,2/43,76/10899,0.03604604641036942,0.3776588006130001,0.35306549780769325,LAMA4/TNC,2
R-HSA-6806834,Signaling by MET,2/43,79/10899,0.038680752783068026,0.3776588006130001,0.35306549780769325,ITGA3/LAMA4,2
R-HSA-419812,Calcitonin-like ligand receptors,1/43,10/10899,0.03877576031895391,0.3776588006130001,0.35306549780769325,ADM,1
R-HSA-549127,Organic cation transport,1/43,10/10899,0.03877576031895391,0.3776588006130001,0.35306549780769325,SLC22A18,1
R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor,1/43,11/10899,0.04257157649181531,0.3776588006130001,0.35306549780769325,VEGFA,1
R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,2/43,84/10899,0.04323018742854193,0.3776588006130001,0.35306549780769325,ANGPTL4/CEBPD,2
R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",2/43,85/10899,0.04416315834633537,0.3776588006130001,0.35306549780769325,SLC22A18/SLC16A1,2
R-HSA-209822,Glycoprotein hormones,1/43,12/10899,0.046352750464156545,0.3776588006130001,0.35306549780769325,INHBB,1
