,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Angiogenesis,0.5868247559603715,2.2245441407324735,0.0,0.0,0.0,17/35,17.47%,PDGFA;LPL;JAG1;CCND2;FGFR1;KCNJ8;ITGAV;LRPAP1;OLR1;POSTN;VEGFA;SERPINA5;VAV2;PF4;SLCO2A1;SPP1;TNFRSF21
1,prerank,E2F Targets,-0.4819161540080428,-2.1485977670155427,0.0,0.0,0.0,108/160,38.08%,MTHFD2;STMN1;CIT;CHEK2;BIRC5;CDC20;CKS2;CDKN2A;CKS1B;HMGB2;RACGAP1;HMMR;XRCC6;CDCA8;EZH2;TUBB;PTTG1;MAD2L1;LBR;MELK;DEK;NAP1L1;DEPDC1;TMPO;NOLC1;RAD1;NUP153;EED;KIF4A;POP7;CDKN3;RAD21;RPA3;KPNA2;MKI67;CCNB2;TOP2A;RAN;CDCA3;CHEK1;KIF2C;MXD3;PRPS1;DCK;RBBP7;AURKA;NCAPD2;NUP205;XPO1;PPM1D;CDC25B;BUB1B;MCM5;ESPL1;GINS4;SPAG5;SPC25;POLA2;POLD3;DONSON;DCLRE1B;ASF1B;CENPM;CCNE1;RAD51AP1;STAG1;SNRPB;TUBG1;SMC3;RRM2;MCM7;MCM2;CBX5;USP1;PLK1;CENPE;SMC6;SMC1A;LMNB1;POLE;AURKB;AK2;CDKN1B;CDC25A;PRDX4;HMGB3;PPP1R8;RAD51C;SMC4;DUT;MLH1;UNG;TACC3;ATAD2;RANBP1;MCM3;EXOSC8;TK1;NUDT21;SUV39H1;TRIP13;PSIP1;RNASEH2A;MSH2;TIMELESS;PA2G4;NBN;KIF22
2,prerank,Myc Targets V1,-0.4473536441724841,-2.0352815545679905,0.0,0.0,0.0,97/177,35.75%,BUB3;HPRT1;HDGF;RPS6;EXOSC7;AP3S1;DDX18;EIF3D;HDAC2;PSMA4;CDC20;SRPK1;MRPL9;TCP1;TXNL4A;PABPC1;VDAC3;RPL6;XRCC6;PSMB2;RPS3;SNRPA1;CCT7;RPL34;MAD2L1;PABPC4;CCT3;DEK;NAP1L1;POLE3;NOLC1;TFDP1;HDDC2;YWHAQ;RPL14;RPS10;KPNA2;RAD23B;XPOT;RAN;CBX3;ILF2;GNL3;U2AF1;PRDX3;PCBP1;LSM2;PSMD1;RPL22;PSMB3;XPO1;RNPS1;DDX21;IMPDH2;SNRPG;SNRPD1;SMARCC1;MCM5;NPM1;VBP1;CNBP;ODC1;MRPS18B;CUL1;EIF4A1;RSL1D1;MCM7;MCM2;SF3A1;RPLP0;RFC4;CCNA2;USP1;SLC25A3;PSMD3;UBE2L3;SRM;PRPS2;CCT4;ACP1;SNRPB2;HSP90AB1;CCT5;PRDX4;HNRNPC;PWP1;PSMA7;RPS2;UBE2E1;RRM1;DUT;PPIA;SSBP1;RANBP1;MRPL23;SERBP1;EIF3B
3,prerank,G2-M Checkpoint,-0.4414999408512581,-2.0070767031573857,0.0,0.0,0.0,101/175,34.89%,BUB3;STMN1;E2F3;CDC27;RPS6KA5;BIRC5;RASAL2;SAP30;CDC20;CKS2;CKS1B;RACGAP1;HMMR;TLE3;EZH2;CENPF;NUP50;PTTG1;UCK2;NEK2;MAD2L1;LBR;DR1;TTK;TMPO;NOLC1;TFDP1;PRC1;CENPA;BUB1;KIF4A;CCNF;NDC80;CDKN3;KIF11;MAPK14;RAD21;KPNA2;MKI67;TROAP;FOXN3;CCNB2;RAD23B;DBF4;TOP2A;UBE2C;TPX2;CBX1;CDC7;CHEK1;KIF2C;PBK;AURKA;XPO1;SNRPD1;CDC25B;SMARCC1;NUSAP1;MCM5;ESPL1;HMGN2;POLA2;KATNA1;ODC1;EWSR1;STAG1;CUL1;MARCKS;CASP8AP2;KIF23;STIL;FBXO5;MCM2;KIF5B;AMD1;SFPQ;CCNA2;PLK1;CENPE;SMC1A;LMNB1;POLE;AURKB;WRN;CDKN1B;CUL3;CDC25A;HMGB3;CUL5;DKC1;MTF2;CHMP1A;CDC6;SMC4;SQLE;E2F1;TACC3;DMD;NUP98;MCM3;MEIS2
4,prerank,Epithelial Mesenchymal Transition,0.3668015332701357,1.9880297508671525,0.0,0.0,0.0,63/186,16.90%,COL5A3;LAMA2;LRP1;GAS1;NT5E;CDH2;MATN2;PVR;TAGLN;CDH6;GJA1;GADD45A;COL4A2;TIMP3;PMP22;PDGFRB;TNFRSF12A;BDNF;PTX3;SPARC;OXTR;COL16A1;COL4A1;FBLN5;ITGAV;SCG2;TNFRSF11B;GADD45B;IGFBP2;SERPINH1;TNC;COL6A2;COL8A2;EMP3;FZD8;SNTB1;HTRA1;LAMC1;GPC1;SGCB;TGFB1;ADAM12;PLOD3;JUN;SERPINE1;POSTN;ITGA5;VEGFA;ID2;MEST;EFEMP2;SFRP4;LOXL1;PLOD1;FMOD;BGN;FGF2;FOXC2;DCN;VEGFC;SPP1;VIM;MMP2
5,prerank,Apical Junction,0.30716083269695255,1.6375386413121422,0.0,0.03831417624521073,0.05,47/165,15.60%,CDH4;EGFR;SDC3;ACTN4;SPEG;AKT2;CDH6;SHROOM2;CX3CL1;VWF;CLDN5;PLCG1;ZYX;ITGA3;MPP5;PCDH1;ITGA10;COL16A1;CD34;TJP1;MPZL2;ARHGEF6;NLGN3;TNFRSF11B;PKD1;PARVA;ADAM9;MAPK11;ACTN2;CTNNA1;JAM3;CTNND1;SIRPA;ICAM5;SORBS3;CLDN4;INPPL1;CRAT;TAOK2;ICAM2;MSN;ACTA1;VAV2;SKAP2;ACTN1;CNN2;GTF2F1
6,prerank,Unfolded Protein Response,-0.3860467794171411,-1.6222344230834536,0.0,0.01211971308434331,0.06,39/100,28.11%,MTHFD2;YWHAZ;DDIT4;SERP1;TSPYL2;CKS1B;DCTN1;PREB;ALDH18A1;EDEM1;CNOT6;DDX10;NOLC1;EIF4EBP1;EXOSC4;NFYA;EXOSC9;XPOT;ASNS;IFIT1;LSM4;EXOSC2;PDIA5;ZBTB17;PAIP1;SEC31A;RPS14;NPM1;DCP2;DCP1A;HERPUD1;ERN1;EIF4G1;EIF4A1;IMP3;NFYB;KIF5B;WFS1;EIF4A2
7,prerank,Myogenesis,0.31189499374202434,1.6208824441878957,0.0,0.034482758620689655,0.06,54/175,16.27%,LAMA2;ITGA7;DTNA;CAMK2B;KIFC3;TAGLN;CNN3;MYH3;SPEG;AKT2;PYGM;CKB;COL4A2;MB;MRAS;SPARC;DES;CKMT2;GADD45B;FXYD1;CTF1;ACTN2;HBEGF;MYBPH;LSP1;COL6A2;ACHE;DMPK;HRC;CDKN1A;CHRNA1;NOTCH1;SORBS3;TGFB1;PTP4A3;ADAM12;ABLIM1;GABARAPL2;PRNP;CRAT;EPHB3;IGFBP7;RB1;MYOG;PLXNB2;PSEN2;ACTA1;CLU;FGF2;PFKM;SSPN;AEBP1;CHRNB1;ENO3
8,prerank,Coagulation,0.3124608518790412,1.5752793526650097,0.0,0.03218390804597701,0.07,38/107,20.34%,F3;LRP1;PDGFB;VWF;DUSP6;P2RY1;TIMP3;PROC;SPARC;CAPN2;ADAM9;PLAT;WDR1;PLAU;FYN;A2M;S100A13;OLR1;HTRA1;KLKB1;ANXA1;SERPINE1;CSRP1;ACOX2;RGN;CLU;CRIP2;PF4;CAPN5;SERPING1;C8G;MMP2;F2RL2;CD9;ITGB3;C3;ITGA2;HPN
9,prerank,Spermatogenesis,-0.39683513665358805,-1.5732298445589017,0.0,0.019391540934949294,0.11,27/88,18.36%,CCNA1;SIRT1;CLGN;OAZ3;PRKAR2A;MLLT10;PHKG2;RPL39L;VDAC3;EZH2;COIL;NEK2;TTK;GSTM3;TSN;BUB1;IL13RA2;CDKN3;ACRV1;CCNB2;DBF4;GFI1;NPY5R;KIF2C;TALDO1;PGS1;AURKA
